LONGITUDE,LATITUDE,TIMESTAMP,NO
-2.0918,113.9775,22082015,560
-2.0905,113.7306,22082015,561
-2.0927,113.746,22082015,562
-2.089,113.7397,22082015,563
-2.2537,113.9862,22082015,564
-2.2496,113.8039,22082015,565
-2.2519,113.8191,22082015,566
-2.3161,114.096,22082015,567
-2.3182,114.1103,22082015,568
-2.2929,113.8591,22082015,569
-2.1636,113.8101,22082015,570
-2.2136,113.7807,22082015,571
-2.2123,113.7897,22082015,572
-2.211,113.7987,22082015,573
-2.247,113.8038,22082015,574
-2.2457,113.8128,22082015,575
-2.2406,113.8486,22082015,576
-2.2567,113.8024,22082015,577
-2.2555,113.8114,22082015,578
-2.2428,113.9009,22082015,579
-2.2644,113.8127,22082015,580
-2.2277,114.1356,22082015,581
-2.2265,114.1445,22082015,582
-2.243,114.0923,22082015,583
-2.252,114.0936,22082015,584
-2.2953,113.8537,22082015,585
-2.294,113.8626,22082015,586
-2.2904,114.1446,22082015,587
-2.3388,114.1937,22082015,588
-2.3478,114.195,22082015,589
-2.3644,114.1429,22082015,590
-2.3631,114.1518,22082015,591
-1.8574,113.5033,22082015,592
-1.823,113.7458,22082015,593
-1.8677,113.4956,22082015,594
-1.8664,113.5046,22082015,595
-1.8652,113.5136,22082015,596
-1.8755,113.5059,22082015,597
-1.8871,113.6178,22082015,598
-2.067,113.7109,22082015,599
-2.0657,113.7198,22082015,600
-2.0403,113.9626,22082015,601
-2.0832,113.7286,22082015,602
-2.0807,113.7466,22082015,603
-2.0502,113.9612,22082015,604
-2.0922,113.7299,22082015,605
-2.0909,113.7389,22082015,606
-2.0592,113.9625,22082015,607
-2.0579,113.9715,22082015,608
-2.1102,113.7325,22082015,609
-2.1089,113.7415,22082015,610
-2.1191,113.7338,22082015,611
-2.1179,113.7428,22082015,612
-2.1423,113.7646,22082015,613
-2.1091,113.997,22082015,614
-1.6154,113.5882,22082015,615
-2.3453,114.1933,22082015,616
-2.0847,113.7379,22082015,617
-2.1051,113.7451,22082015,618
-2.1101,113.7385,22082015,619
-2.1115,113.7484,22082015,620
-2.229,114.2167,22082015,621
-2.1842,113.8488,22082015,622
-2.2284,114.1487,22082015,623
-2.2105,113.7982,22082015,624
-2.251,113.8125,22082015,625
-2.2618,113.8209,22082015,626
-2.2864,113.8574,22082015,627
-2.3346,114.1851,22082015,628
